Uniprot,E3 ligase Uniprot,Smiles,Molecular Weight,Exact Mass,XLogP3,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
Q9H8M2,P40337,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1,1041.257,1040.484139628,4.890420000000005,74.0,8.0,16.0,3.0,22.0,199.15
P03372,Q96SW2,CCN(CCCCCCC#CC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,783.9470000000003,783.29782178,7.67440000000001,57.0,7.0,9.0,3.0,15.0,136.48000000000002
P10275,P40337,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,1047.2550000000003,1046.416986584,9.114600000000001,73.0,6.0,10.0,4.0,20.0,188.07
P10275,P40337,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCCCCCCCCNC(=O)C2=CC=C(N3C(=S)N(C4=CC=C(C#N)C(C(F)(F)F)=C4)C(=O)C3(C)C)C=C2F)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,1114.3019999999997,1113.4228002359998,9.58712,78.0,7.0,12.0,4.0,22.0,214.10000000000002
P10275,P40337,CC1=C(C2=CC=C([C@H](CC(=O)N3CCC(N4CCC(C#CC5=CC=C(C(=O)N[C@H]6C(C)(C)[C@H](OC7=CC=C(C#N)C(Cl)=C7)C6(C)C)C=C5)CC4)CC3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(C#N)CC3)C(C)(C)C)C=C2)SC=N1,1136.8609999999992,1135.5120443879998,8.354180000000008,81.0,9.0,12.0,4.0,14.0,221.08999999999997
O60885,Q96SW2,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCN1C=C(COCCOCCOCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N1)N=C2C1=CC=C(Cl)C=C1,913.414,912.2780216999998,3.6275600000000017,64.0,8.0,17.0,2.0,19.0,223.35000000000002
O15264,P40337,COC1=CC2=C(OC3=CC=C(NC(=O)C4(C(=O)NC5=CC=C(F)C=C5)CC4)C=C3F)C=CN=C2C=C1OCCOCCOCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C,1078.204999999999,1077.411783212,7.7144200000000085,77.0,8.0,14.0,5.0,23.0,228.87
Q16539,P40337,COC1=CC2=C(OC3=CC=C(NC(=O)C4(C(=O)NC5=CC=C(F)C=C5)CC4)C=C3F)C=CN=C2C=C1OCCCCOCCCCOC1=CC(C2=C(C)N=CS2)=CC=C1CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](C(C)C)N1CC2=CC=CC=C2C1=O,1180.3409999999992,1179.458733404,10.396619999999997,85.0,10.0,14.0,4.0,26.0,220.07999999999998
P11474,P40337,COC1=CC(/C=C(\C#N)C(=O)NCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)=CC=C1OCC1=CC=C(C(F)(F)F)C=C1C(F)(F)F,942.9800000000002,942.320938196,7.356200000000008,66.0,5.0,10.0,4.0,16.0,182.98
O60885,P40337,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCCOCCCOC3=CC=C(NC(=O)C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C5=C(SC(C)=C5C)N5C(C)=NN=C45)C=C3)C(C)(C)C)C=C2)SC=N1,1092.7859999999998,1091.4164297519999,8.651680000000006,76.0,8.0,15.0,4.0,22.0,211.48999999999995
